,latitude,longitude,risk
0,40.7864093,-73.7946273,0.0
1,40.7624294,-73.7570906,0.0
2,40.7534671,-73.7441643,0.0
3,40.7980478,-73.9600437,0.0
4,40.7986542,-73.9614745,0.0
5,40.7992437,-73.9628734,0.23076923076923078
6,40.8004295,-73.9656909,0.0
7,40.8013981,-73.9679955,0.0
8,40.8016452,-73.9685741,0.0
9,40.8022679,-73.9700504,0.0
10,40.7826383,-73.9750067,0.0
11,40.783828,-73.9778254,0.0
12,40.7845691,-73.9795827,0.0
13,40.7850352,-73.9806732,0.0
14,40.7855915,-73.9820041,0.0
15,40.8593291,-73.9313239,0.0
16,40.858744,-73.930122,0.8846153846153846
17,40.859012,-73.927625,0.0
18,40.859944,-73.926786,0.0
19,40.7839869,-73.9703125,0.0
20,40.7851818,-73.9731496,0.0
21,40.7863627,-73.9759753,0.0
22,40.7870877,-73.9776927,0.0
23,40.7875711,-73.9788225,0.0
24,40.788486,-73.9810702,0.0
25,40.725326,-73.976212,0.0
26,40.8126219,-73.9568234,0.0
27,40.8138307,-73.9598214,0.40384615384615385
28,40.814184,-73.9606929,0.0
29,40.7328569,-73.9959291,0.0
30,40.7341463,-73.9991816,0.0
31,40.704221,-74.0087998,0.6923076923076923
32,40.703813,-74.008325,0.0
33,40.7033146,-74.0077696,0.0
34,40.7041084,-74.0089696,0.6923076923076923
35,40.7032091,-74.0079803,0.0
36,40.7692956,-73.9810586,0.0
37,40.7697925,-73.982236,0.0
38,40.7704797,-73.9838597,0.0
39,40.7716605,-73.986677,0.0
40,40.7728633,-73.9895402,0.0
41,40.787235,-73.9679404,0.0
42,40.7884325,-73.9707862,0.0
43,40.7896131,-73.9736025,0.3076923076923077
44,40.7902583,-73.9751294,0.3076923076923077
45,40.7908218,-73.9764487,0.0
46,40.7917878,-73.978619,0.0
47,40.7115654,-74.0158085,0.0
48,40.7110102,-74.0143968,0.0
49,40.7101452,-74.0126714,0.0
50,40.7096662,-74.0116524,0.0
51,40.7091439,-74.010521,0.0
52,40.708614,-74.009371,0.0
53,40.7077219,-74.008269,0.0
54,40.8016439,-73.9333873,0.0
55,40.8021471,-73.9337706,0.0
56,40.8021545,-73.9328935,0.0
57,40.748197,-74.00742,0.5961538461538461
58,40.7062566,-74.0027542,0.0
59,40.7094916,-74.001657,0.0
60,40.7879993,-73.9827522,0.0
61,40.8007075,-73.9311515,0.0
62,40.7381466,-73.9736517,0.0
63,40.7849764,-73.9826519,0.0
64,40.7456709,-73.9721346,0.0
65,40.7460881,-73.9749735,0.0
66,40.7163982,-73.9757407,0.0
67,40.718847,-73.9748036,0.0
68,40.7835314,-73.9853322,0.0
69,40.8442415,-73.9337078,0.0
70,40.846152,-73.932313,0.0
71,40.8026802,-73.9326159,0.0
72,40.8033683,-73.9329255,0.0
73,40.802694,-73.9334099,0.0
74,40.7132542,-73.9775923,0.0
75,40.7124667,-73.9777769,0.0
76,40.71075,-73.9814926,0.6538461538461539
77,40.7237914,-74.006113,0.0
78,40.724504,-74.007029,0.0
79,40.721087,-73.9747151,0.0
80,40.7589831,-73.9645095,0.0
81,40.7596426,-73.9640002,0.0
82,40.7595738,-73.960551,0.0
83,40.766876,-73.979076,0.0
84,40.7620775,-73.9619964,0.0
85,40.738339,-73.9738156,0.0
86,40.7587817,-73.998505,0.0
87,40.7593876,-73.9969538,0.0
88,40.7588687,-73.9992001,0.0
89,40.7577291,-73.996857,0.0
90,40.7828748,-73.9437833,0.0
91,40.780311,-73.9856862,0.0
92,40.7606212,-73.9643559,0.0
93,40.7944866,-73.9318124,0.0
94,40.793757,-73.9322765,0.0
95,40.769641,-73.9484005,0.0
96,40.7687032,-73.9491341,0.0
97,40.7693848,-73.9950304,0.0
98,40.7794865,-73.9735934,0.0
99,40.8171783,-73.9344659,0.0
100,40.7217241,-74.0067668,0.0
101,40.7211998,-74.0079995,0.0
102,40.7209099,-74.0078146,0.0
103,40.7208183,-74.0075453,0.0
104,40.7219848,-74.0082309,0.0
105,40.7916758,-73.964694,0.0
106,40.706675,-74.0142358,0.0
107,40.8295918,-73.9352393,0.0
108,40.8305218,-73.9355839,0.0
109,40.8304127,-73.9363638,0.0
110,40.7206456,-74.008466,0.0
